Source,Book,DigammaCount
Il,1,9666
Il,2,13650
Il,3,7230
Il,4,8522
Il,5,14295
Il,6,8328
Il,7,7550
Il,8,8787
Il,9,11116
Il,10,9099
Il,11,13330
Il,12,7357
Il,13,13231
Il,14,8187
Il,15,11721
Il,16,13639
Il,17,11979
Il,18,9716
Il,19,6690
Il,20,7915
Il,21,9712
Il,22,8137
Il,23,14114
Il,24,12663
Od,1,6950
Od,2,6807
Od,3,7810
Od,4,13324
Od,5,7741
Od,6,5188
Od,7,5466
Od,8,9184
Od,9,8864
Od,10,9040
Od,11,10050
Od,12,7076
Od,13,6885
Od,14,8349
Od,15,8726
Od,16,7526
Od,17,9468
Od,18,6718
Od,19,9505
Od,20,6169
Od,21,6777
Od,22,7894
Od,23,5824
Od,24,8589
